,Shot Number,Beam,Latitude,Longitude,Tandem-X DEM,Elevation (m),Canopy Elevation (m),Canopy Height (rh100),RH 98,RH 25,Quality Flag,Degrade Flag,Sensitivity
2666,4.126082280003779e+16,BEAM1000,-8.1537981508277,115.05473184393288,59.35054397583008,50.25294494628906,71.23255920410156,20.969999313354492,18.8799991607666,1.7200000286102295,1.0,0.0,0.9768341779708862
2667,4.126082300003779e+16,BEAM1000,-8.153378695674219,115.05503611076013,57.47991943359375,50.59513473510742,68.09063720703125,17.489999771118164,15.359999656677246,0.14000000059604645,1.0,0.0,0.968666672706604
2668,4.126082320003779e+16,BEAM1000,-8.15295925617467,115.05534034679992,57.47991943359375,50.87455368041992,67.62078094482422,16.739999771118164,14.680000305175781,1.2699999809265137,1.0,0.0,0.9720500707626343
2669,4.126082340003779e+16,BEAM1000,-8.152539923963932,115.05564458723588,56.51637649536133,51.551536560058594,69.4591293334961,17.899999618530273,15.470000267028809,-0.7400000095367432,1.0,0.0,0.9746357202529907
2670,4.126082360003779e+16,BEAM1000,-8.15212111177944,115.05594899872665,56.51637649536133,54.70759201049805,65.94667053222656,11.229999542236328,8.949999809265137,-0.6299999952316284,1.0,0.0,0.9703440070152283
2671,4.126082380003779e+16,BEAM1000,-8.151702314186423,115.05625337478881,60.0485954284668,57.79985427856445,65.44242858886719,7.639999866485596,5.840000152587891,-2.059999942779541,1.0,0.0,0.9571578502655029
2672,4.126082400003779e+16,BEAM1000,-8.151280849424165,115.05655661521827,60.0485954284668,47.28367233276367,72.72145080566406,25.43000030517578,22.850000381469727,8.5,1.0,0.0,0.9758158326148987
2673,4.126080000003779e+16,BEAM1000,-8.150864766409585,115.05686198670575,62.54745864868164,63.68510437011719,69.00493621826172,5.309999942779541,3.549999952316284,-2.059999942779541,1.0,0.0,0.9722192883491516
2674,4.12608002000378e+16,BEAM1000,-8.15044533243875,115.05716585081497,62.564971923828125,62.631752014160156,72.37228393554688,9.739999771118164,7.679999828338623,-1.190000057220459,1.0,0.0,0.9727497100830078
2675,4.12608004000378e+16,BEAM1000,-8.15002439122052,115.05746904926532,56.10988235473633,53.828433990478516,63.5689697265625,9.739999771118164,7.150000095367432,0.029999999329447746,1.0,0.0,0.9724492430686951
2676,4.12608006000378e+16,BEAM1000,-8.14960417759504,115.05777249564123,56.10988235473633,48.56211853027344,59.314170837402344,10.75,8.649999618530273,-1.159999966621399,1.0,0.0,0.965022623538971
2677,4.12608008000378e+16,BEAM1000,-8.149185712314532,115.05807660863236,56.215694427490234,51.99259948730469,61.733131408691406,9.739999771118164,8.270000457763672,-1.1200000047683716,1.0,0.0,0.9570885896682739
2678,4.12608010000378e+16,BEAM1000,-8.148766462448798,115.05838035703688,56.215694427490234,51.34939956665039,55.582786560058594,4.230000019073486,3.069999933242798,-3.180000066757202,1.0,0.0,0.9570939540863037
2679,4.12608012000378e+16,BEAM1000,-8.148346466246617,115.0586837594427,50.042198181152344,46.83386993408203,61.257354736328125,14.420000076293945,12.470000267028809,0.5899999737739563,1.0,0.0,0.9719699025154114
2680,4.12608014000378e+16,BEAM1000,-8.147927343123497,115.05898748393997,53.46983337402344,46.6411247253418,69.79362487792969,23.149999618530273,20.34000015258789,-0.33000001311302185,1.0,0.0,0.9784010648727417
2681,4.126080160003781e+16,BEAM1000,-8.147508518584035,115.05929129982187,53.09550094604492,47.8842658996582,57.06284713745117,9.170000076293945,7.820000171661377,0.0,1.0,0.0,0.9614530801773071
2682,4.126080180003781e+16,BEAM1000,-8.147090021756371,115.05959522292812,60.17316818237305,50.723350524902344,71.74042510986328,21.010000228881836,17.489999771118164,6.809999942779541,1.0,0.0,0.9773834943771362
2683,4.126080200003781e+16,BEAM1000,-8.14667329986909,115.0598998504763,66.56484985351562,62.48173141479492,70.87358093261719,8.390000343322754,6.659999847412109,-0.9700000286102295,1.0,0.0,0.9665974378585815
2684,4.126080220003781e+16,BEAM1000,-8.146255198616242,115.06020389612067,66.56484985351562,67.2482681274414,76.50177764892578,9.25,7.150000095367432,-1.7200000286102295,1.0,0.0,0.9673812985420227
2685,4.126080240003781e+16,BEAM1000,-8.145836630662588,115.06050773705712,69.02880096435547,69.64204406738281,74.10021209716797,4.449999809265137,3.2200000286102295,-2.6500000953674316,1.0,0.0,0.9637314081192017
2686,4.126080260003781e+16,BEAM1000,-8.14541707581943,115.0608111651764,69.02880096435547,67.05281829833984,73.98358154296875,6.929999828338623,5.5,-0.6299999952316284,1.0,0.0,0.957304835319519
2687,4.126080280003781e+16,BEAM1000,-8.144997627340112,115.06111463311433,66.98466491699219,65.01844024658203,74.08462524414062,9.0600004196167,7.079999923706055,-0.8600000143051147,1.0,0.0,0.9722489714622498
2688,4.126080300003781e+16,BEAM1000,-8.144576891284776,115.06141757377671,57.81878662109375,56.51053237915039,71.60836029052734,15.09000015258789,12.579999923706055,-1.190000057220459,1.0,0.0,0.9767240881919861
2689,4.126080320003781e+16,BEAM1000,-8.144156884589899,115.06172081715131,55.77036666870117,51.727848052978516,63.22916793823242,11.5,9.359999656677246,-0.07000000029802322,1.0,0.0,0.9631302952766418
